"Amasty Orders Export History","Amasty Orders Export History"
"Download Archive","Download Archive"
"Download File","Download File"
"Efficient Order Export","Efficient Order Export"
"Add to Options","Add to Options"
"Select ""Yes"" to add this attribute to the list of options in the efficient order export.","Select ""Yes"" to add this attribute to the list of options in the efficient order export."
"Amasty Orders Export Profiles","Amasty Orders Export Profiles"
"Add New Profile","Add New Profile"
"Save and Continue Edit","Save and Continue Edit"
"Run Profile Now","Run Profile Now"
"Profile Information","Profile Information"
"Run At","Run At"
"File Size","File Size"
"Exported File","Exported File"
"Exported Archive","Exported Archive"
"Export File Options","Export File Options"
"File Properties","File Properties"
"File Name","File Name"
"Just name, with no extension. Will be used both for file saved to local folder and for one uploaded via FTP.' . ""\r\n"" . '<b>NOTE:</b> if ""Add Timestamp"" is disabled, file will be overeaten on each export run!","Just name, with no extension. Will be used both for file saved to local folder and for one uploaded via FTP.' . ""\r\n"" . '<b>NOTE:</b> if ""Add Timestamp"" is disabled, file will be overeaten on each export run!"
"File Path (Local)","File Path (Local)"
"Absolute path, or relative to Magento install root, ex. ""var/export/"". Please make sure that this directory exists and is writeable.","Absolute path, or relative to Magento install root, ex. ""var/export/"". Please make sure that this directory exists and is writeable."
"Add Timestamp","Add Timestamp"
"Timestamp will be added as a prefix to the file or as a new folder in which file will be saved","Timestamp will be added as a prefix to the file or as a new folder in which file will be saved"
"Do not add","Do not add"
"Add timestamp to file name as a prefix","Add timestamp to file name as a prefix"
"Create new folder and place file in it","Create new folder and place file in it"
"Data Format","Data Format"
"File Format","File Format"
"CSV - Comma Separated Values","CSV - Comma Separated Values"
XML,XML
"MS Excel XML","MS Excel XML"
"Field Names In The First Row","Field Names In The First Row"
Yes,Yes
No,No
"Split Order Items","Split Order Items"
"Order Items Delimiter","Order Items Delimiter"
"CSV Configuration","CSV Configuration"
Delimiter,Delimiter
"Enclose Values In","Enclose Values In"
"Warning! Empty value can cause problems with CSV format.","Warning! Empty value can cause problems with CSV format."
"XML Configuration","XML Configuration"
"XML Main Tag","XML Main Tag"
"XML Order Tag","XML Order Tag"
"XML Order Items Tag","XML Order Items Tag"
"XML Order Item Tag","XML Order Item Tag"
"FTP/SFTP Configuration","FTP/SFTP Configuration"
"Upload Exported File By FTP","Upload Exported File By FTP"
"FTP Hostname","FTP Hostname"
"If you use non-standard port (not 21), please specify hostname like example.com:23, where 23 is your custom port","If you use non-standard port (not 21), please specify hostname like example.com:23, where 23 is your custom port"
Type,Type
FTP,FTP
SFTP,SFTP
"FTP Login","FTP Login"
"FTP Password","FTP Password"
"Use Passive Mode","Use Passive Mode"
"File Path (FTP)","File Path (FTP)"
"Delete Local File After FTP Upload","Delete Local File After FTP Upload"
"E-mail Settings","E-mail Settings"
"Send Exported File to E-mail","Send Exported File to E-mail"
"E-mail From","E-mail From"
"E-mail Address","E-mail Address"
"E-mail Message Subject","E-mail Message Subject"
"Compress Exported File in ZIP","Compress Exported File in ZIP"
"Orders Filters","Orders Filters"
"Order Number Filters","Order Number Filters"
"Use Order Number Filters","Use Order Number Filters"
"Last Order Exported: %s <br />","Last Order Exported: %s <br />"
"Starting From #","Starting From #"
". 'Order number to start export from. Ex. 100000040. Leave empty to ignore.'",". 'Order number to start export from. Ex. 100000040. Leave empty to ignore.'"
"Ending With #","Ending With #"
"Order number to end export with. Leave empty to ignore.","Order number to end export with. Leave empty to ignore."
"Skip Starting From","Skip Starting From"
"In case of ""Yes"" export will start from the order, next to the specified in the ""Starting From #"" field. Else specified order will be exported as well.","In case of ""Yes"" export will start from the order, next to the specified in the ""Starting From #"" field. Else specified order will be exported as well."
"Automatically Increment Starting From","Automatically Increment Starting From"
"Automatically fill ""Starting From #"" field with the last exported order number after each profile run","Automatically fill ""Starting From #"" field with the last exported order number after each profile run"
"Invoice Number Filters","Invoice Number Filters"
"Use Invoice NumberFilter","Use Invoice NumberFilter"
"Use Invoice Number Filter","Use Invoice Number Filter"
"Last Invoice Exported: %s  <br />","Last Invoice Exported: %s  <br />"
". 'Invoice number to start export from. Ex. 100000040. Leave empty to ignore.'",". 'Invoice number to start export from. Ex. 100000040. Leave empty to ignore.'"
"Invoice number to end export with. Leave empty to ignore.","Invoice number to end export with. Leave empty to ignore."
"Shipment Number Filters","Shipment Number Filters"
"Use Shipment Number Filters","Use Shipment Number Filters"
"Starting From Shipment #","Starting From Shipment #"
"Filter orders by shipment numbers.","Filter orders by shipment numbers."
"Ending With Shipment #","Ending With Shipment #"
"Date Range","Date Range"
"Use Date Range","Use Date Range"
"From Date","From Date"
"To Date","To Date"
"Customer Groups","Customer Groups"
"Filter by Customer Group","Filter by Customer Group"
"For Customer Groups","For Customer Groups"
"Other Export Filters","Other Export Filters"
"Order Status","Order Status"
"Run History","Run History"
General,General
"Automatic Execution","Automatic Execution"
"Run automatically after each new order is placed","Run automatically after each new order is placed"
Name,Name
"Skip child products","Skip child products"
"Status For Processed Orders","Status For Processed Orders"
"- Do not change -","- Do not change -"
"Change status with","Change status with"
"Exported orders will get specified status after export","Exported orders will get specified status after export"
"Store View","Store View"
"Field Mappings","Field Mappings"
"Field Mapping","Field Mapping"
"Fields To Export","Fields To Export"
"Export All Fields","Export All Fields"
"Export Specified Fields Only","Export Specified Fields Only"
"Profile Configuration","Profile Configuration"
"Amasty Orders Export Thirdparty","Amasty Orders Export Thirdparty"
"Add New Thirdparty Profile","Add New Thirdparty Profile"
"Thirdparty Profile Information","Thirdparty Profile Information"
"Table to join","Table to join"
"Base Table Key","Base Table Key"
"Indicate field from sales_flat_order table based on which the foreign table will be joined (in most cases it is entity_id field).","Indicate field from sales_flat_order table based on which the foreign table will be joined (in most cases it is entity_id field)."
"Referenced Table Key","Referenced Table Key"
"Field from the foreign table (the one indicated in the ""Table Name""), by which the table will be joined to the order table.","Field from the foreign table (the one indicated in the ""Table Name""), by which the table will be joined to the order table."
"Thirdparty Profile Configuration","Thirdparty Profile Configuration"
History,History
"This history entry is deleted.","This history entry is deleted."
"Can't delete item right now. Please review the log and try again.","Can't delete item right now. Please review the log and try again."
"Can't find a item to delete.","Can't find a item to delete."
"File is no longer exists on server.","File is no longer exists on server."
"Can't download item right now. Please review the log and try again.","Can't download item right now. Please review the log and try again."
"Can't find a item to download.","Can't find a item to download."
Amasty,Amasty
"Items were deleted successfully.","Items were deleted successfully."
"We can't delete history entry(-ies) right now. Please review the log and try again.","We can't delete history entry(-ies) right now. Please review the log and try again."
"We can't find history entry(-ies) to delete.","We can't find history entry(-ies) to delete."
Profiles,Profiles
"This profile is deleted.","This profile is deleted."
"This item no longer exists.","This item no longer exists."
"Edit Amasty Efficient Order Export Profile","Edit Amasty Efficient Order Export Profile"
"New Profile","New Profile"
System,System
"Manage Profiles","Manage Profiles"
"Profile Run success","Profile Run success"
"Profile Run failed","Profile Run failed"
"Profile does not exist.","Profile does not exist."
"The profile is saved.","The profile is saved."
"Something went wrong while saving the item data. Please review the error log.","Something went wrong while saving the item data. Please review the error log."
"3rd Party Link","3rd Party Link"
"Edit 3rd Party Link","Edit 3rd Party Link"
"New 3rd Party Link","New 3rd Party Link"
"Manage 3rd Party Link","Manage 3rd Party Link"
Thirdparty,Thirdparty
"Customer Support Email","Customer Support Email"
"Amasty Orderexport processing","Amasty Orderexport processing"
"Message was sent from Amasty OrderExport and includes orders export file attached. \r\n\r\nPlease, do not answer on this email.","Message was sent from Amasty OrderExport and includes orders export file attached. \r\n\r\nPlease, do not answer on this email."
"Manage Mappings","Manage Mappings"
"Add Mapping","Add Mapping"
"Sort Option","Sort Option"
Delete,Delete
"General Settings","General Settings"
"Enable module","Enable module"
CSV,CSV
"Excel XML","Excel XML"
"Amasty: Efficient Order Export - Product Attributes","Amasty: Efficient Order Export - Product Attributes"
"Rebuild attributes index","Rebuild attributes index"
"Are you sure?","Are you sure?"
"History ID","History ID"
"Profile ID","Profile ID"
"Run at","Run at"
Stores,Stores
AutoExecution,AutoExecution
"Thirdparty ID","Thirdparty ID"
